AMCL gives us 101 possible locations:
X: -0.899088	Y: -1.04227	A: -0.000979893	W: 0.9402
X: 12.7949	Y: -8.99071	A: 0.00241666	W: 0.0023
X: 12.7473	Y: 7.73674	A: 0.0579411	W: 0.0016
X: -14.7378	Y: -3.257	A: -0.013216	W: 0.0015
X: 7.12089	Y: -13.8186	A: -0.0266127	W: 0.0013
X: -13.4984	Y: -9.8668	A: -0.0220986	W: 0.0011
X: 2.02134	Y: 14.4921	A: 0.0132022	W: 0.001
X: -9.33112	Y: -14.6148	A: -0.0584828	W: 0.0009
X: -2.82354	Y: 15.9686	A: 0.0160852	W: 0.0009
X: 14.3959	Y: 5.5043	A: -0.0206823	W: 0.0007
X: 4.23247	Y: 12.2323	A: -0.0433282	W: 0.0007
X: -15.6837	Y: 3.51417	A: 0.00867829	W: 0.0007
X: -6.0044	Y: -15.633	A: -0.0153356	W: 0.0007
X: 14.1572	Y: 0.904146	A: 0.0325254	W: 0.0006
X: -11.87	Y: 12.1722	A: 0.0663718	W: 0.0006
X: 4.51854	Y: -16.1589	A: -0.129021	W: 0.0005
X: -16.9832	Y: -0.139625	A: 0.0113395	W: 0.0005
X: -11.7548	Y: -12.247	A: -0.0712564	W: 0.0005
X: -13.9868	Y: -15.0135	A: 0.0212298	W: 0.0004
X: 13.1956	Y: -15.1311	A: -0.0987734	W: 0.0004
X: 16.0085	Y: 14.9636	A: 0.0944712	W: 0.0004
X: -11.2482	Y: 14.4701	A: -0.0501881	W: 0.0004
X: -12.8739	Y: 6.20195	A: -0.0105516	W: 0.0004
X: -7.13485	Y: -18.465	A: -0.00558323	W: 0.0004
X: 20.8077	Y: -0.67865	A: 0.00681623	W: 0.0003
X: -15.9998	Y: 6.52146	A: -0.118254	W: 0.0003
X: 18.5636	Y: 6.95187	A: 0.031765	W: 0.0003
X: -13.8112	Y: -13.7491	A: 0.0129311	W: 0.0003
X: 13.8903	Y: 3.59456	A: -0.0353885	W: 0.0003
X: 13.5436	Y: -3.68318	A: 0.111513	W: 0.0003
X: 18.6238	Y: -8.16662	A: -0.0759927	W: 0.0003
X: -3.49446	Y: 12.6935	A: -0.025677	W: 0.0003
X: 11.7566	Y: -7.13143	A: -0.0546458	W: 0.0003
X: -10.03	Y: -16.8753	A: -0.0900884	W: 0.0003
X: -5.01247	Y: 17.3456	A: 0.0818579	W: 0.0003
X: 3.72672	Y: -16.7186	A: 0.0938761	W: 0.0002
X: 17.6507	Y: 8.28003	A: 0.06889	W: 0.0002
X: -12.2878	Y: 7.66049	A: 0.154337	W: 0.0002
X: 15.585	Y: -5.78516	A: 0.141312	W: 0.0002
X: -17.5004	Y: 4.30093	A: -0.095784	W: 0.0002
X: 11.4325	Y: -10.6027	A: 0.132449	W: 0.0002
X: 2.07662	Y: 18.4171	A: -0.0297581	W: 0.0002
X: -13.2283	Y: 8.3035	A: -0.0491356	W: 0.0002
X: 12.0065	Y: 18.3348	A: 0.0586405	W: 0.0002
X: -5.05205	Y: -19.1937	A: 0.0998545	W: 0.0002
X: -0.476062	Y: -17.4446	A: -0.00793222	W: 0.0002
X: 11.8386	Y: -14.4561	A: -0.0115653	W: 0.0002
X: -12.1331	Y: 16.3829	A: 0.140497	W: 0.0002
X: -20.6268	Y: -3.8474	A: -0.0922951	W: 0.0002
X: -6.91227	Y: 16.9099	A: 0.0165515	W: 0.0002
X: 17.6629	Y: 10.899	A: 0.0405465	W: 0.0002
X: -5.63701	Y: -17.7419	A: -0.170299	W: 0.0001
X: -5.82774	Y: -19.9847	A: 0.0276411	W: 0.0001
X: 4.99487	Y: -18.0138	A: 0.0408126	W: 0.0001
X: 20.4968	Y: 3.83487	A: -0.0186412	W: 0.0001
X: 18.1174	Y: 3.56265	A: 0.0832027	W: 0.0001
X: 16.7466	Y: -13.5807	A: 0.17945	W: 0.0001
X: 15.1617	Y: -13.1399	A: -0.175061	W: 0.0001
X: 17.4529	Y: 9.15623	A: -0.0531363	W: 0.0001
X: -12.4446	Y: 7.12167	A: -0.299385	W: 0.0001
X: 11.8049	Y: 15.6096	A: -0.0520974	W: 0.0001
X: 12.3209	Y: 13.6526	A: 0.183272	W: 0.0001
X: -6.40771	Y: 18.8255	A: -0.0931079	W: 0.0001
X: -5.85221	Y: 17.9423	A: -0.16126	W: 0.0001
X: -14.424	Y: 15.7493	A: -0.00836642	W: 0.0001
X: -15.3619	Y: 16.2339	A: -0.139561	W: 0.0001
X: -9.57032	Y: -11.5863	A: -0.0088054	W: 0.0001
X: 3.1432	Y: 17.4406	A: 0.272705	W: 0.0001
X: -13.4091	Y: 9.38708	A: -0.0361586	W: 0.0001
X: -10.3037	Y: -8.81628	A: -0.0351269	W: 0.0001
X: 7.67523	Y: 13.0274	A: 0.0345922	W: 0.0001
X: -21.4979	Y: 11.9412	A: -0.0449463	W: 0.0001
X: -21.0811	Y: 3.135	A: -0.186675	W: 0.0001
X: -7.18289	Y: 23.307	A: -0.169043	W: 0.0001
X: -7.08749	Y: 21.9968	A: -0.00950046	W: 0.0001
X: 16.1916	Y: 17.8998	A: -0.13172	W: 0.0001
X: 18.1775	Y: 17.6519	A: 0.057255	W: 0.0001
X: 18.0105	Y: 13.0901	A: 0.263805	W: 0.0001
X: 4.57897	Y: 14.5536	A: -0.128787	W: 0.0001
X: 5.92428	Y: -14.2553	A: -0.221026	W: 0.0001
X: -11.2886	Y: 8.48358	A: 0.0338246	W: 0.0001
X: -13.563	Y: -7.48485	A: 0.19028	W: 0.0001
X: -22.0257	Y: 2.41672	A: 0.118049	W: 0.0001
X: -23.811	Y: 1.19468	A: -0.0505366	W: 0.0001
X: 0.360834	Y: -21.9852	A: -0.00539258	W: 0.0001
X: -3.13161	Y: -14.0954	A: -0.120564	W: 0.0001
X: -3.24299	Y: -16.484	A: 0.126348	W: 0.0001
X: 13.0674	Y: 15.6161	A: 0.0485279	W: 0.0001
X: 13.6068	Y: 14.9808	A: -0.0180619	W: 0.0001
X: -7.27449	Y: 18.9429	A: 0.14675	W: 0.0001
X: -10.6607	Y: 13.3101	A: 0.156195	W: 0.0001
X: -21.9722	Y: -3.96277	A: -0.196929	W: 0.0001
X: 6.45766	Y: -18.4233	A: -0.0407254	W: 0.0001
X: -10.9926	Y: -18.3573	A: 0.106338	W: 0.0001
X: 14.1397	Y: -14.4963	A: -0.0837395	W: 0.0001
X: 17.9768	Y: -3.84599	A: 0.0152186	W: 0.0001
X: -6.26529	Y: 14.4378	A: -0.191231	W: 0.0001
X: 6.80354	Y: 17.4199	A: -0.0369723	W: 0.0001
X: 6.98264	Y: 15.4048	A: 0.0193745	W: 0.0001
X: 11.9664	Y: 19.6941	A: -0.0515475	W: 0.0001
X: 1.95073e-309	Y: 0	A: 0	W: 0

